title	link	guid	category	description	pubDate
Zonal Project Directorate - Zone VIII, Indian Council of Agricultural Research (ICAR), Bangalore	http://zpdviii.gov.in	http://zpdviii.gov.in	Regional/Field Offices	Zonal Project Directorate - Zone VIII, Indian Council of Agricultural Research (ICAR), Bangalore	Mon, 31 Jan 2011 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Deoghar, Jharkhand	http://kvkdeoghar.gov.in	http://kvkdeoghar.gov.in	Regional/Field Offices	Krishi Vigyan Kendra (KVK), Deoghar, Jharkhand	Fri, 24 Jul 2015 12:00:00 +0530
National Research Centre for Grapes (NRCG), Pune, Maharashtra	http://nrcgrapes.nic.in	http://nrcgrapes.nic.in	Regional/Field Offices	National Research Centre for Grapes (NRCG), Pune, Maharashtra	Fri, 23 Jun 2006 12:00:00 +0530
Krishi Vigyan Kendra (KVK), East Kameng, Pampoli, Arunachal Pradesh	http://kvkeastkameng.nic.in	http://kvkeastkameng.nic.in	Regional/Field Offices	Krishi Vigyan Kendra (KVK), East Kameng, Pampoli, Arunachal Pradesh	Mon, 16 May 2011 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Wokha, Nagaland	http://kvkwokha.nic.in	http://kvkwokha.nic.in	Regional/Field Offices	Krishi Vigyan Kendra (KVK), Wokha, Nagaland	Thu, 26 May 2011 12:00:00 +0530
Central Inland Fisheries Research Institute (CIFRI)	http://www.ifsi.in	http://www.ifsi.in	Regional/Field Offices	Central Inland Fisheries Research Institute (CIFRI)	Wed, 27 Sep 2000 12:00:00 +0530
Krishi Vigyan Kendra, Kathua, SKUAST, Jammu	http://kvkkathua.gov.in	http://kvkkathua.gov.in	Regional/Field Offices	Krishi Vigyan Kendra, Kathua, Sher-e-Kashmir University of Agricultural sciences &amp; Technology (SKUAST), Jammu	Thu, 25 Aug 2011 12:00:00 +0530
Central Institute for Arid Horticulture (CIAH)	http://www.ciah.ernet.in	http://www.ciah.ernet.in	Regional/Field Offices	Central Institute for Arid Horticulture (CIAH)	Thu, 22 Sep 2005 12:00:00 +0530
Central Institute for Research on Buffaloes (CIRB)	http://www.cirb.res.in	http://www.cirb.res.in	Regional/Field Offices	Central Institute for Research on Buffaloes (CIRB)	Fri, 23 Jun 2006 12:00:00 +0530
Directorate of Wheat Research (DWR)	http://www.dwr.res.in	http://www.dwr.res.in	Regional/Field Offices	Directorate of Wheat Research (DWR)	Wed, 27 Sep 2000 12:00:00 +0530
Zonal Project Directorate Zone VII, Jabalpur, Madhya Pradesh	http://zpd7icar.nic.in	http://zpd7icar.nic.in	Regional/Field Offices	Zonal Project Directorate Zone VII, Jabalpur, Madhya Pradesh	Thu, 13 Jun 2013 12:00:00 +0530
Central Institute for Research on Cotton Technology (CIRCOT)	http://www.circot.res.in	http://www.circot.res.in	Regional/Field Offices	Central Institute for Research on Cotton Technology (CIRCOT)	Thu, 22 Sep 2005 12:00:00 +0530
Central Institute of Brackishwater Aquaculture (CIBA)	http://www.ciba.res.in	http://www.ciba.res.in	Regional/Field Offices	Central Institute of Brackishwater Aquaculture (CIBA)	Fri, 25 Feb 2000 12:00:00 +0530
Central Plantation Crops Research Institute (CPCRI)	http://cpcri.gov.in	http://cpcri.gov.in	Regional/Field Offices	Central Plantation Crops Research Institute (CPCRI)	Thu, 11 May 2000 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Baramati, Maharashtra	http://www.kvkbaramati.com	http://www.kvkbaramati.com	Regional/Field Offices	Krishi Vigyan Kendra (KVK), Baramati, Maharashtra	Fri, 25 Feb 2000 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Babhaleshwar, Maharashtra	http://www.kvk.pravara.com	http://www.kvk.pravara.com	Regional/Field Offices	Krishi Vigyan Kendra (KVK), Babhaleshwar, Maharashtra	Wed, 27 Sep 2000 12:00:00 +0530
Central Arid Zone Research Institute (CAZRI)	http://www.cazri.res.in	http://www.cazri.res.in	Regional/Field Offices	Central Arid Zone Research Institute (CAZRI)	Wed, 27 Sep 2000 12:00:00 +0530
Central Institute for Research on Goats (CIRG)	http://www.cirg.res.in	http://www.cirg.res.in	Regional/Field Offices	Central Institute for Research on Goats (CIRG)	Wed, 27 Sep 2000 12:00:00 +0530
National Bureau of Plant Genetic Resources (NBPGR)	http://www.nbpgr.ernet.in	http://www.nbpgr.ernet.in	Regional/Field Offices	National Bureau of Plant Genetic Resources (NBPGR)	Wed, 27 Sep 2000 12:00:00 +0530
Indian Institute of Vegetable Research (IIVR)	http://www.iivr.org.in	http://www.iivr.org.in	Regional/Field Offices	Indian Institute of Vegetable Research (IIVR)	Wed, 27 Sep 2000 12:00:00 +0530
Indian Institute of Pulses Research (IIPR)	http://www.iipr.res.in	http://www.iipr.res.in	Regional/Field Offices	Indian Institute of Pulses Research (IIPR)	Wed, 27 Sep 2000 12:00:00 +0530
National Research Centre on Yak (NRCYAK)	http://www.nrcy.org.in	http://www.nrcy.org.in	Regional/Field Offices	National Research Centre on Yak (NRCYAK)	Wed, 27 Sep 2000 12:00:00 +0530
National Academy of Agricultural Research Management (NAARM)	http://www.naarm.ernet.in	http://www.naarm.ernet.in	Regional/Field Offices	National Academy of Agricultural Research Management (NAARM)	Wed, 01 Nov 2000 12:00:00 +0530
Indian Agricultural Research Institute (IARI)	http://www.iari.res.in	http://www.iari.res.in	Regional/Field Offices	Indian Agricultural Research Institute (IARI)	Thu, 15 Feb 2001 12:00:00 +0530
National Research Centre for Orchids (NRCO)	http://sikkim.nic.in/nrco	http://sikkim.nic.in/nrco	Regional/Field Offices	National Research Centre for Orchids (NRCO)	Mon, 28 Jan 2002 12:00:00 +0530
National Research Centre on Equines (NRCE)	http://nrce.nic.in	http://nrce.nic.in	Regional/Field Offices	National Research Centre on Equines (NRCE)	Fri, 05 Jul 2002 12:00:00 +0530
Indian Veterinary Research Institute (IVRI)	http://ivri.nic.in	http://ivri.nic.in	Regional/Field Offices	Indian Veterinary Research Institute (IVRI)	Tue, 17 Sep 2002 12:00:00 +0530
Central Integrated Pest Management Centre (CIPMC)	http://cipmcjk.nic.in	http://cipmcjk.nic.in	Regional/Field Offices	Central Integrated Pest Management Centre (CIPMC)	Mon, 29 Sep 2003 12:00:00 +0530
Vivekananda Parvatiya Krishi Anusandhan Sansthan (VPKAS)	http://vpkas.nic.in	http://vpkas.nic.in	Regional/Field Offices	Vivekananda Parvatiya Krishi Anusandhan Sansthan (VPKAS)	Mon, 06 Oct 2003 12:00:00 +0530
National Research Centre for Groundnut (NRCG)	http://www.nrcg.res.in	http://www.nrcg.res.in	Regional/Field Offices	National Research Centre for Groundnut (NRCG)	Fri, 20 Feb 2004 12:00:00 +0530
Krishi Vigyan Kendra (KVK), Port Blair, Andaman and Nicobar	http://kvkcari.and.nic.in	http://kvkcari.and.nic.in	Regional/Field Offices	Krishi Vigyan Kendra (KVK), Port Blair, Andaman and Nicobar	Tue, 03 Aug 2004 12:00:00 +0530
Central Rice Research Institute (CRRI)	http://crri.nic.in	http://crri.nic.in	Regional/Field Offices	Central Rice Research Institute (CRRI)	Thu, 18 Nov 2004 12:00:00 +0530
Directorate of Maize Research (DMR)	http://dmr.res.in	http://dmr.res.in	Regional/Field Offices	Directorate of Maize Research (DMR)	Wed, 21 Apr 2004 12:00:00 +0530
ICAR-Central Institute for Women in Agriculture (ICAR-CIWA)	http://icar-ciwa.org.in	http://icar-ciwa.org.in	Regional/Field Offices	ICAR-Central Institute for Women in Agriculture (ICAR-CIWA)	Thu, 14 Jul 2005 12:00:00 +0530
Central Institute of Freshwater Aquaculture (CIFA)	http://www.cifa.in	http://www.cifa.in	Regional/Field Offices	Central Institute of Freshwater Aquaculture (CIFA)	Tue, 04 Oct 2005 12:00:00 +0530
Central Tuber Crops Research Institute (CTCRI)	http://www.ctcri.org	http://www.ctcri.org	Regional/Field Offices	Central Tuber Crops Research Institute (CTCRI)	Tue, 04 Oct 2005 12:00:00 +0530
Central Institute of Post Harvest Engineering and Technology (CIPHET)	http://www.ciphet.in	http://www.ciphet.in	Regional/Field Offices	Central Institute of Post Harvest Engineering and Technology (CIPHET)	Tue, 04 Oct 2005 12:00:00 +0530
Indian Institute of Soil Science (IISS)	http://www.iiss.nic.in	http://www.iiss.nic.in	Regional/Field Offices	Indian Institute of Soil Science (IISS)	Tue, 08 Jan 2002 12:00:00 +0530
Indian Council of Agricultural Research (ICAR)	http://www.icar.org.in	http://www.icar.org.in	Statutory Bodies	Indian Council of Agricultural Research 	Wed, 11 Feb 2009 12:00:00 +0530
Veterinary Council of India (VCI)	http://www.vci.nic.in	http://www.vci.nic.in	Statutory Bodies	Veterinary Council of India (VCI)	Tue, 08 Mar 2016 12:00:00 +0530
National Oilseeds and Vegetable Oils Development (NOVOD) Board, Haryana	http://www.novodboard.com	http://www.novodboard.com	Statutory Bodies	National Oilseeds and Vegetable Oils Development (NOVOD) Board, Haryana	Mon, 20 Sep 2004 12:00:00 +0530
Soil Test Crop Response (STCR) Correlation Project, ICAR	http://stcr.gov.in	http://stcr.gov.in	Schemes / Programmes and Missions	Soil Test Crop Response (STCR)Correlation Project, ICAR 	Sat, 28 Aug 2010 12:00:00 +0530
National Horticulture Mission,NHM, Maharashtra	http://mahanhm.gov.in	http://mahanhm.gov.in	Schemes / Programmes and Missions	National Horticulture Mission,NHM, Maharashtra	Fri, 30 Apr 2010 12:00:00 +0530
National Agricultural Innovation Project	http://www.naip.icar.org.in	http://www.naip.icar.org.in	Schemes / Programmes and Missions	National Agricultural Innovation Project	Fri, 30 Apr 2010 12:00:00 +0530
National Bamboo Mission	http://nbm.nic.in	http://nbm.nic.in	Schemes / Programmes and Missions	A central sector scheme for promoting bamboo developement across India.	Mon, 14 Dec 2009 12:00:00 +0530
Technology Mission for Developement of Horticulture in North Eastern and Himalayan States	http://tmnehs.gov.in	http://tmnehs.gov.in	Schemes / Programmes and Missions	A central sector scheme for Developement of Horticulture in North Eastern and Himalayan States.	Mon, 14 Dec 2009 12:00:00 +0530
Directorate of Rice Research (DRR), Hyderabad, Andhra Pradesh	http://www.drricar.org	http://www.drricar.org	Schemes / Programmes and Missions	Directorate of Rice Research (DRR), Hyderabad, Andhra Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY)	http://pmksy.gov.in	http://pmksy.gov.in	Schemes / Programmes and Missions	Pradhan Mantri Krishi Sinchayee Yojana (PMKSY)	Wed, 27 Jan 2016 12:00:00 +0530
Farmers Portal - One Stop Shop For Farmers	http://farmer.gov.in	http://farmer.gov.in	Schemes / Programmes and Missions	Farmers Portal - One Stop Shop For Farmers	Wed, 25 Sep 2013 12:00:00 +0530
Department of Agriculture and Co-operation Network (DACNET)	http://dacnet.nic.in	http://dacnet.nic.in	Schemes / Programmes and Missions	Department of Agriculture and Co-operation Network (DACNET)	Wed, 28 Jan 2004 12:00:00 +0530
KIRAN - Knowledge Innovation Repository of Agriculture in the North East, ICAR	http://kiran.nic.in	http://kiran.nic.in	Schemes / Programmes and Missions	KIRAN - Knowledge Innovation Repository of Agriculture in the North East, ICAR 	Fri, 13 Jul 2012 12:00:00 +0530
National Bureau of Agriculturally Important Microorganisms (NBAIM), Bhanjan, Uttar Pradesh	http://www.nbaim.org.in	http://www.nbaim.org.in	Schemes / Programmes and Missions	National Bureau of Agriculturally Important Microorganisms (NBAIM), Bhanjan, Uttar Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
KISAN (Krishak Information System And Network), Gonda, Uttar Pradesh	http://kisan.nic.in	http://kisan.nic.in	Schemes / Programmes and Missions	KISAN (Krishak Information System And Network), Gonda, Uttar Pradesh	Tue, 30 Dec 2014 12:00:00 +0530
SeedNet India Portal - National Initiative for Information on Quality Seeds, New Delhi	http://seednet.gov.in	http://seednet.gov.in	Schemes / Programmes and Missions	SeedNet India Portal - National Initiative for Information on Quality Seeds, New Delhi	Mon, 06 Dec 2010 12:00:00 +0530
Rashtriya Krishi Vikas Yojana (RKVY)	http://rkvy.nic.in	http://rkvy.nic.in	Schemes / Programmes and Missions	Rashtriya Krishi Vikas Yojana (RKVY)	Mon, 06 Dec 2010 12:00:00 +0530
ICAR - National Bureau of Agricultural Insect Resources (NBAIR), Bangalore	http://www.nbair.res.in	http://www.nbair.res.in	Schemes / Programmes and Missions	ICAR - National Bureau of Agricultural Insect Resources (NBAIR) formerly National Bureau of Agriculturally Important Insects (NBAII), Bangalore	Thu, 11 Nov 2010 12:00:00 +0530
ICAR-INDIAN INSTITUTE OF WATER MANAGEMENT,  Bhubaneswar, Odisha	http://www.iiwm.res.in	http://www.iiwm.res.in	Schemes / Programmes and Missions	ICAR-INDIAN INSTITUTE OF WATER MANAGEMENT,  Bhubaneswar, Orissa	Thu, 11 Nov 2010 12:00:00 +0530
Project Directorate for Farming Systems Research (PDFSR), Meerut, Uttar Pradesh	http://pdfsr.ernet.in	http://pdfsr.ernet.in	Schemes / Programmes and Missions	Project Directorate for Farming Systems Research (PDFSR), Meerut, Uttar Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
ICAR - Directorate of Seed Research, Maunath Bhanjan, Uttar Pradesh	http://www.seedres.in	http://www.seedres.in	Schemes / Programmes and Missions	ICAR - Directorate of Seed Research, Maunath Bhanjan, Uttar Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Project Directorate on Cattle, Meerut, Uttar Pradesh	http://circ.org.in	http://circ.org.in	Schemes / Programmes and Missions	Project Directorate on Cattle, Meerut, Uttar Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
HORTNET - An initiative of National Horticulture Mission	http://hortnet.gov.in	http://hortnet.gov.in	Schemes / Programmes and Missions	HORTNET - An initiative of National Horticulture Mission	Mon, 04 Jul 2011 12:00:00 +0530
National Initiative on Climate Resilient Agriculture (NICRA), New Delhi	http://www.nicra-icar.in	http://www.nicra-icar.in	Schemes / Programmes and Missions	National Initiative on Climate Resilient Agriculture (NICRA), New Delhi	Mon, 18 Aug 2014 12:00:00 +0530
All India Pre-Veterinary Test (AIPVT) conducted by Veterinary Council of India (VCI)	http://aipvt.vci.nic.in	http://aipvt.vci.nic.in	Schemes / Programmes and Missions	All India Pre-Veterinary Test (AIPVT) conducted by Veterinary Council of India (VCI)	Tue, 08 Mar 2016 12:00:00 +0530
Small Farmers Agri - Business Consortium (SFAC), New Delhi	http://www.sfacindia.com	http://www.sfacindia.com	Schemes / Programmes and Missions	Small Farmers Agri - Business Consortium (SFAC), New Delhi 	Tue, 21 Jun 2011 12:00:00 +0530
Plant Quarantine Information System - Directorate of Plant Protection, Quarantine and Storage	http://plantquarantineindia.nic.in	http://plantquarantineindia.nic.in	Schemes / Programmes and Missions	Plant Quarantine Information System - Directorate of Plant Protection, Quarantine and Storage	Wed, 06 Jul 2011 12:00:00 +0530
Directorate of Oilseeds Research(DOR), Hyderabad, Andhra Pradesh	http://dor-icar.org.in	http://dor-icar.org.in	Schemes / Programmes and Missions	Directorate of Oilseeds Research(DOR), Hyderabad, Andhra Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Protection of Plant Varieties and Farmers Rights Authority, New Delhi	http://www.plantauthority.gov.in	http://www.plantauthority.gov.in	Schemes / Programmes and Missions	Protection of Plant Varieties and Farmers Rights Authority, New Delhi	Sat, 23 Jul 2011 12:00:00 +0530
Project Directorate on Poultry (PDP), Hyderabad, Andhra Pradesh	http://www.pdonpoultry.org	http://www.pdonpoultry.org	Schemes / Programmes and Missions	Project Directorate on Poultry (PDP), Hyderabad, Andhra Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Directorate of Oil Palm Research, West Godavari, Andhra Pradesh	http://www.dopr.gov.in	http://www.dopr.gov.in	Schemes / Programmes and Missions	Directorate of Oil Palm Research, West Godavari, Andhra Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Directorate of Mushroom Research, Solan, Himachal Pradesh	http://nrcmushroom.org	http://nrcmushroom.org	Schemes / Programmes and Missions	Directorate of Mushroom Research, Solan, Himachal Pradesh	Thu, 11 Nov 2010 12:00:00 +0530
Project Directorate on Animal Disease Monitoring And Surveillance (PDADMAS), Bangalore, Karnataka	http://www.pdadmas.ernet.in	http://www.pdadmas.ernet.in	Schemes / Programmes and Missions	Project Directorate on Animal Disease Monitoring And Surveillance (PDADMAS), Bangalore, Karnataka 	Thu, 11 Nov 2010 12:00:00 +0530
Indian Council of Agricultural Research - Online Library Catalog	http://www.icarlibrary.nic.in	http://www.icarlibrary.nic.in	Schemes / Programmes and Missions	Indian Council of Agricultural Research - Online Library Catalog	Thu, 11 Nov 2010 12:00:00 +0530
National Agriculture Market (NAM) Portal	http://www.enam.gov.in	http://www.enam.gov.in	Schemes / Programmes and Missions	National Agriculture Market (NAM) Portal provides a single window service for all APMC related information and services. 	Mon, 11 Jul 2016 12:00:00 +0530
mKisan - A Portal of Government of India for Farmer Centric Mobile Based Services	http://www.mkisan.gov.in	http://www.mkisan.gov.in	Schemes / Programmes and Missions	mKisan - A Portal of Government of India for Farmer Centric Mobile Based Services	Tue, 24 Mar 2015 12:00:00 +0530
National Food Security Mission	http://nfsm.gov.in	http://nfsm.gov.in	Schemes / Programmes and Missions	National Food Security Mission	Fri, 21 May 2010 12:00:00 +0530
Veterinary Type Culture Collection (VTCC), Haryana	http://vtcc.gov.in	http://vtcc.gov.in	Schemes / Programmes and Missions	Veterinary Type Culture Collection (VTCC), Haryana	Mon, 22 Oct 2012 12:00:00 +0530
Directorate of Onion and Garlic Research, Pune, Maharashtra	http://www.dogr.res.in	http://www.dogr.res.in	Schemes / Programmes and Missions	Directorate of Onion and Garlic Research, Pune, Maharashtra	Thu, 11 Nov 2010 12:00:00 +0530
Animal Disease Diagnostic Laboratories WorkFlow Application (ADDLWFA)	http://addlwfa.nic.in	http://addlwfa.nic.in	Schemes / Programmes and Missions	Animal Disease Diagnostic Laboratories WorkFlow Application (ADDLWFA)	Thu, 18 Oct 2012 12:00:00 +0530
Mission for Integrated Development of Horticulture (MIDH)	http://midh.gov.in	http://midh.gov.in	Schemes / Programmes and Missions	Mission for Integrated Development of Horticulture (MIDH)	Fri, 24 Jul 2015 12:00:00 +0530
Participatory Guarantee System (PGS) for India, National Center of Organic Farming (NCOF)	http://pgsindia-ncof.gov.in	http://pgsindia-ncof.gov.in	Schemes / Programmes and Missions	Participatory Guarantee System (PGS) for India, National Center of Organic Farming (NCOF)	Fri, 24 Jul 2015 12:00:00 +0530
